,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0,1105,1261,1378,1210,1265,1197,1068,1173,1176,1123,903,864,845,1043,843,959,1001,878,793,934,1093,1070,1169,995,1268,1269,1145,1142,1136,1097
2,1076,0,252,303,201,278,188,84,86,189,228,506,628,522,485,556,451,439,573,563,545,250,215,315,206,388,381,410,299,332,254
3,1236,299,0,65,98,220,130,311,346,190,332,610,733,626,589,660,555,543,677,718,649,437,492,549,473,492,485,235,486,436,387
4,1344,346,72,0,145,267,176,357,392,236,339,617,739,633,596,667,562,550,684,725,656,444,515,556,475,499,522,181,493,443,389
5,1184,247,101,153,0,148,77,258,293,137,279,557,680,574,537,608,502,490,624,665,596,385,440,497,421,439,432,209,433,384,335
6,1226,289,250,301,149,0,86,292,336,164,322,600,722,616,579,650,545,533,667,707,639,427,482,539,463,482,475,259,476,426,377
7,1139,203,167,219,124,91,0,214,249,78,235,513,636,530,493,563,458,446,580,621,552,341,396,453,377,395,388,234,389,340,291
8,1066,79,290,342,240,255,226,0,124,166,249,527,650,543,469,577,472,460,594,552,566,240,205,305,196,409,402,408,289,353,244
9,1144,86,298,350,248,325,235,152,0,236,274,552,675,569,532,603,498,486,619,631,592,318,283,383,275,434,428,457,367,379,322
10,1069,219,193,245,143,199,129,134,266,0,252,530,652,546,509,580,475,463,597,638,569,357,339,438,330,412,405,351,406,356,307
11,1119,240,357,395,307,383,293,243,308,261,0,359,482,376,339,410,304,292,426,467,398,145,289,267,250,241,264,291,194,186,50
12,903,589,616,676,566,642,552,572,636,520,402,0,286,83,181,210,112,164,230,174,202,412,517,338,363,476,472,573,388,299,448
13,992,563,589,650,539,616,526,546,609,493,375,178,0,195,243,121,96,138,162,203,70,386,508,340,425,450,446,546,362,272,422
14,818,522,632,692,582,659,568,525,590,536,418,56,257,0,197,127,129,180,171,89,218,428,486,354,320,492,488,589,405,315,464
15,1019,469,596,656,546,623,532,472,537,500,382,236,359,253,0,286,181,134,303,344,275,323,358,179,306,457,452,553,299,279,429
16,872,579,683,743,633,710,619,583,647,587,469,170,165,113,271,0,189,231,79,82,160,479,544,434,377,543,539,640,456,366,515
17,969,533,559,619,509,586,495,515,579,463,345,149,248,165,213,221,0,107,263,257,156,355,477,310,395,419,415,516,332,242,392
18,948,465,492,552,441,518,428,448,512,396,278,164,287,181,118,215,110,0,231,272,203,288,410,242,300,352,348,448,264,175,324
19,838,637,720,781,670,747,657,640,705,624,507,228,131,170,323,75,227,269,0,139,204,517,601,471,434,581,577,677,493,403,553
20,838,551,718,778,668,745,654,555,620,622,504,142,227,85,283,97,215,267,141,0,257,515,516,440,349,578,574,675,491,401,551
21,955,696,722,782,672,749,658,679,742,626,508,312,146,329,376,267,242,271,215,316,0,519,640,473,558,583,578,679,495,405,555
22,1121,233,441,481,390,467,377,236,301,344,227,327,450,344,306,377,272,260,394,435,366,0,164,122,252,283,306,378,49,154,200
23,1136,289,523,586,473,548,460,293,358,450,332,442,565,459,422,493,388,376,509,550,482,116,0,231,266,388,411,483,158,269,305
24,1095,292,511,571,461,538,447,296,361,415,297,312,435,328,263,362,257,245,379,420,351,150,181,0,215,371,367,468,126,194,298
25,964,202,437,475,386,461,373,206,271,341,220,383,524,326,273,394,390,343,438,356,484,190,167,235,0,365,366,372,239,341,194
26,1333,444,531,591,481,558,467,447,512,435,317,536,659,553,516,587,482,469,603,644,575,326,453,448,463,0,279,488,375,363,298
27,1270,382,478,419,397,431,416,385,450,373,255,474,597,491,454,524,419,407,541,582,513,264,391,385,401,231,0,315,312,301,236
28,1163,276,302,354,252,329,239,259,323,206,157,435,558,452,415,486,381,369,502,543,475,263,334,375,294,317,341,0,312,262,208
29,1173,284,492,532,442,519,428,287,352,396,278,372,495,389,352,422,317,305,439,480,411,51,173,104,303,334,357,429,0,199,252
30,1070,364,391,451,340,417,327,347,411,295,177,286,409,303,266,337,232,220,353,394,326,251,394,226,389,251,247,348,248,0,223
31,1090,212,328,366,278,355,264,215,280,232,51,420,543,437,400,470,365,353,487,528,459,96,223,217,221,302,257,263,144,247,0
