id,city,street
1,Muenster,Lütkenbecker Weg 10
2,Muenster,Veghestrasse 6
3,Muenster,Horstmarer Landweg 39
4,Muenster,Philippistrasse 16
5,Muenster,Horstmarer Landweg 96
6,Muenster,Busso-Peus-Strasse 12
7,Muenster,Mendelstrasse 11
8,Muenster,Einsteinstrasse 40
9,Muenster,Roeschweg 24
10,Muenster,Wilhelm-Klemm-Strasse 9
11,Muenster,Gasselstiege 30L
12,Muenster,Stuehmerweg 15
13,Muenster,Piusallee 130
14,Muenster,Gartenstrasse 1
15,Muenster,Maximilianstrasse 36
16,Muenster,Bohlweg 15
17,Muenster,Gartenstrasse 120
18,Muenster,Kanalstrasse 75
19,Muenster,Beldensnyderweg 10
20,Muenster,Karlstrasse 29
21,Muenster,Mecklenburger Str. 9
22,Muenster,Melcherstrasse 66
23,Muenster,Marientalstrasse 6
24,Muenster,Nordstrasse 34
25,Muenster,Münzstrasse 6
26,Muenster,Kinderhauserstrasse 145
27,Muenster,Koburger Weg 44
28,Muenster,Leonardo-Campus 3
29,Muenster,Görrestrasse 5
30,Muenster,Jahnstrasse 33
31,Muenster,Catharina-Müller-Str. 10
