id,city,street
1,Muenster,Gasselstiege 30L
2,Muenster,Leonardo Campus 3
3,Muenster,Weseler Str. 20
4,Muenster,Steinfurter Str. 45
5,Muenster,Orleans-Ring 22
6,Muenster,Horstmarer Landweg 10
7,Muenster,Dahlweg 34
8,Muenster,Catharina-Mueller Str. 10
9,Muenster,Toppheideweg 34
10,Muenster,Eisenbahnstrasse 22
11,Muenster,Gasselstiege 30L
12,Muenster,Leonardo Campus 3
13,Muenster,Weseler Str. 20
14,Muenster,Steinfurter Str. 45
15,Muenster,Orleans-Ring 22
16,Muenster,Horstmarer Landweg 10
17,Muenster,Dahlweg 34
18,Muenster,Catharina-Mueller Str. 10
19,Muenster,Toppheideweg 34
20,Muenster,Eisenbahnstrasse 22
21,Muenster,Gasselstiege 30L
22,Muenster,Leonardo Campus 3
23,Muenster,Weseler Str. 20
24,Muenster,Steinfurter Str. 45
25,Muenster,Orleans-Ring 22
26,Muenster,Horstmarer Landweg 10
27,Muenster,Dahlweg 34
28,Muenster,Catharina-Mueller Str. 10
29,Muenster,Toppheideweg 34
30,Muenster,Eisenbahnstrasse 22
31,Muenster,Gasselstiege 30L
32,Muenster,Leonardo Campus 3
33,Muenster,Weseler Str. 20
34,Muenster,Steinfurter Str. 45
35,Muenster,Orleans-Ring 22
36,Muenster,Horstmarer Landweg 10
37,Muenster,Dahlweg 34
38,Muenster,Catharina-Mueller Str. 10
39,Muenster,Toppheideweg 34
40,Muenster,Eisenbahnstrasse 22
41,Muenster,Gasselstiege 30L
42,Muenster,Leonardo Campus 3
43,Muenster,Weseler Str. 20
44,Muenster,Steinfurter Str. 45
45,Muenster,Orleans-Ring 22
46,Muenster,Horstmarer Landweg 10
47,Muenster,Dahlweg 34
48,Muenster,Catharina-Mueller Str. 10
49,Muenster,Toppheideweg 34
50,Muenster,Eisenbahnstrasse 22
51,Muenster,Gasselstiege 30L
52,Muenster,Leonardo Campus 3
53,Muenster,Weseler Str. 20
54,Muenster,Steinfurter Str. 45
55,Muenster,Orleans-Ring 22
56,Muenster,Horstmarer Landweg 10
57,Muenster,Dahlweg 34
58,Muenster,Catharina-Mueller Str. 10
59,Muenster,Toppheideweg 34
60,Muenster,Eisenbahnstrasse 22
61,Muenster,Gasselstiege 30L
62,Muenster,Leonardo Campus 3
63,Muenster,Weseler Str. 20
64,Muenster,Steinfurter Str. 45
65,Muenster,Orleans-Ring 22
66,Muenster,Horstmarer Landweg 10
67,Muenster,Dahlweg 34
68,Muenster,Catharina-Mueller Str. 10
69,Muenster,Toppheideweg 34
70,Muenster,Eisenbahnstrasse 22
71,Muenster,Gasselstiege 30L
72,Muenster,Leonardo Campus 3
73,Muenster,Weseler Str. 20
74,Muenster,Steinfurter Str. 45
75,Muenster,Orleans-Ring 22
76,Muenster,Horstmarer Landweg 10
77,Muenster,Dahlweg 34
78,Muenster,Catharina-Mueller Str. 10
79,Muenster,Toppheideweg 34
80,Muenster,Eisenbahnstrasse 22
81,Muenster,Gasselstiege 30L
82,Muenster,Leonardo Campus 3
83,Muenster,Weseler Str. 20
84,Muenster,Steinfurter Str. 45
85,Muenster,Orleans-Ring 22
86,Muenster,Horstmarer Landweg 10
87,Muenster,Dahlweg 34
88,Muenster,Catharina-Mueller Str. 10
89,Muenster,Toppheideweg 34
90,Muenster,Eisenbahnstrasse 22
91,Muenster,Gasselstiege 30L
92,Muenster,Leonardo Campus 3
93,Muenster,Weseler Str. 20
94,Muenster,Steinfurter Str. 45
95,Muenster,Orleans-Ring 22
96,Muenster,Horstmarer Landweg 10
97,Muenster,Dahlweg 34
98,Muenster,Catharina-Mueller Str. 10
99,Muenster,Toppheideweg 34
100,Muenster,Eisenbahnstrasse 22
101,Muenster,Gasselstiege 30L
102,Muenster,Leonardo Campus 3
103,Muenster,Weseler Str. 20
104,Muenster,Steinfurter Str. 45
105,Muenster,Orleans-Ring 22
106,Muenster,Horstmarer Landweg 10
107,Muenster,Dahlweg 34
108,Muenster,Catharina-Mueller Str. 10
109,Muenster,Toppheideweg 34
110,Muenster,Eisenbahnstrasse 22
111,Muenster,Gasselstiege 30L
112,Muenster,Leonardo Campus 3
113,Muenster,Weseler Str. 20
114,Muenster,Steinfurter Str. 45
115,Muenster,Orleans-Ring 22
116,Muenster,Horstmarer Landweg 10
117,Muenster,Dahlweg 34
118,Muenster,Catharina-Mueller Str. 10
119,Muenster,Toppheideweg 34
120,Muenster,Eisenbahnstrasse 22
121,Muenster,Gasselstiege 30L
122,Muenster,Leonardo Campus 3
123,Muenster,Weseler Str. 20
124,Muenster,Steinfurter Str. 45
125,Muenster,Orleans-Ring 22
126,Muenster,Horstmarer Landweg 10
127,Muenster,Dahlweg 34
128,Muenster,Catharina-Mueller Str. 10
129,Muenster,Toppheideweg 34
130,Muenster,Eisenbahnstrasse 22
131,Muenster,Gasselstiege 30L
132,Muenster,Leonardo Campus 3
133,Muenster,Weseler Str. 20
134,Muenster,Steinfurter Str. 45
135,Muenster,Orleans-Ring 22
136,Muenster,Horstmarer Landweg 10
137,Muenster,Dahlweg 34
138,Muenster,Catharina-Mueller Str. 10
139,Muenster,Toppheideweg 34
140,Muenster,Eisenbahnstrasse 22
141,Muenster,Gasselstiege 30L
142,Muenster,Leonardo Campus 3
143,Muenster,Weseler Str. 20
144,Muenster,Steinfurter Str. 45
145,Muenster,Orleans-Ring 22
146,Muenster,Horstmarer Landweg 10
147,Muenster,Dahlweg 34
148,Muenster,Catharina-Mueller Str. 10
149,Muenster,Toppheideweg 34
150,Muenster,Eisenbahnstrasse 22
151,Muenster,Gasselstiege 30L
152,Muenster,Leonardo Campus 3
153,Muenster,Weseler Str. 20
154,Muenster,Steinfurter Str. 45
155,Muenster,Orleans-Ring 22
156,Muenster,Horstmarer Landweg 10
157,Muenster,Dahlweg 34
158,Muenster,Catharina-Mueller Str. 10
159,Muenster,Toppheideweg 34
160,Muenster,Eisenbahnstrasse 22
161,Muenster,Gasselstiege 30L
162,Muenster,Leonardo Campus 3
163,Muenster,Weseler Str. 20
164,Muenster,Steinfurter Str. 45
165,Muenster,Orleans-Ring 22
166,Muenster,Horstmarer Landweg 10
167,Muenster,Dahlweg 34
168,Muenster,Catharina-Mueller Str. 10
169,Muenster,Toppheideweg 34
170,Muenster,Eisenbahnstrasse 22
171,Muenster,Gasselstiege 30L
172,Muenster,Leonardo Campus 3
173,Muenster,Weseler Str. 20
174,Muenster,Steinfurter Str. 45
175,Muenster,Orleans-Ring 22
176,Muenster,Horstmarer Landweg 10
177,Muenster,Dahlweg 34
178,Muenster,Catharina-Mueller Str. 10
179,Muenster,Toppheideweg 34
180,Muenster,Eisenbahnstrasse 22
181,Muenster,Gasselstiege 30L
182,Muenster,Leonardo Campus 3
183,Muenster,Weseler Str. 20
184,Muenster,Steinfurter Str. 45
185,Muenster,Orleans-Ring 22
186,Muenster,Horstmarer Landweg 10
187,Muenster,Dahlweg 34
188,Muenster,Catharina-Mueller Str. 10
189,Muenster,Toppheideweg 34
190,Muenster,Eisenbahnstrasse 22
191,Muenster,Gasselstiege 30L
192,Muenster,Leonardo Campus 3
193,Muenster,Weseler Str. 20
194,Muenster,Steinfurter Str. 45
195,Muenster,Orleans-Ring 22
196,Muenster,Horstmarer Landweg 10
197,Muenster,Dahlweg 34
198,Muenster,Catharina-Mueller Str. 10
199,Muenster,Toppheideweg 34
200,Muenster,Eisenbahnstrasse 22
