id,city,street
1,Muenster,Veghestrasse 6
2,Muenster,Horstmarer Landweg 39
3,Muenster,Philippistrasse 16
4,Muenster,Horstmarer Landweg 96
5,Muenster,Busso-Peus-Strasse 12
6,Muenster,Mendelstrasse 11
7,Muenster,Einsteinstrasse 40
8,Muenster,Roeschweg 24
9,Muenster,Wilhelm-Klemm-Strasse 9
10,Muenster,Gasselstiege 30L
11,Muenster,Stuehmerweg 15
12,Muenster,Piusallee 130
13,Muenster,Gartenstrasse 1
14,Muenster,Maximilianstrasse 36
15,Muenster,Bohlweg 15
16,Muenster,Gartenstrasse 120
17,Muenster,Kanalstrasse 75
18,Muenster,Beldensnyderweg 10
19,Muenster,Karlstrasse 29
20,Muenster,Mecklenburger Str. 9
