"id","weight","time","location_id"
1,2,22,2
2,11,4,3
3,3,22,4
4,13,11,5
5,5,2,6
6,15,17,7
7,3,8,8
8,4,5,9
9,3,3,10
10,1,26,11
11,6,22,12
12,3,7,13
13,1,22,14
14,5,8,15
15,14,25,16
16,14,26,17
17,2,4,18
18,11,12,19
19,9,18,20
20,9,3,21
21,3,25,22
22,4,19,23
23,10,13,24
24,14,8,25
25,6,9,26
26,3,13,27
27,7,25,28
28,5,5,29
29,5,17,30
30,7,18,31
31,6,24,32
32,4,1,33
33,5,11,34
34,4,2,35
35,7,2,36
36,7,28,37
37,2,20,38
38,8,23,39
39,5,3,40
40,10,14,41
41,3,3,42
42,3,19,43
43,13,3,44
44,4,12,45
45,13,21,46
46,15,28,47
47,9,15,48
48,6,15,49
49,7,20,50
50,14,18,51
51,8,9,52
52,15,26,53
53,12,27,54
54,11,26,55
55,11,14,56
56,9,16,57
57,2,20,58
58,9,23,59
59,6,26,60
60,9,14,61
61,6,12,62
62,12,20,63
63,7,19,64
64,8,8,65
65,10,7,66
66,11,19,67
67,15,23,68
68,2,9,69
69,4,23,70
70,2,2,71
71,1,24,72
72,9,10,73
73,9,16,74
74,13,30,75
75,4,14,76
76,11,17,77
77,7,6,78
78,4,11,79
79,7,8,80
80,1,27,81
81,13,4,82
82,2,15,83
83,9,30,84
84,1,18,85
85,8,7,86
86,14,8,87
87,7,20,88
88,11,16,89
89,3,15,90
90,7,30,91
