,instance,70,80,90,100
1,_Summary_whole_600depth first_20_1.csv,,,,16088
2,_Summary_whole_600depth first_20_10.csv,,,,16329
3,_Summary_whole_600depth first_20_2.csv,,,,16342
4,_Summary_whole_600depth first_20_3.csv,,,,16099
5,_Summary_whole_600depth first_20_4.csv,,,,15392
6,_Summary_whole_600depth first_20_5.csv,,,,16592
7,_Summary_whole_600depth first_20_6.csv,,,,15300
8,_Summary_whole_600depth first_20_7.csv,,,,13168
9,_Summary_whole_600depth first_20_8.csv,,,,15552
10,_Summary_whole_600depth first_20_9.csv,,,,12801
11,_Summary_whole_600depth first_30_1.csv,,,,20144
12,_Summary_whole_600depth first_30_10.csv,,,,22292
13,_Summary_whole_600depth first_30_2.csv,,,,22426
14,_Summary_whole_600depth first_30_3.csv,,,,23666
15,_Summary_whole_600depth first_30_4.csv,,,,20412
16,_Summary_whole_600depth first_30_5.csv,,,,19670
17,_Summary_whole_600depth first_30_6.csv,,,,20012
18,_Summary_whole_600depth first_30_7.csv,,,,19873
19,_Summary_whole_600depth first_30_8.csv,,,,20077
20,_Summary_whole_600depth first_30_9.csv,,,,20279
21,_Summary_whole_600depth first_40_1.csv,,,,25538
22,_Summary_whole_600depth first_40_10.csv,,,,28058
23,_Summary_whole_600depth first_40_2.csv,,,,27829
24,_Summary_whole_600depth first_40_3.csv,,,,27057
25,_Summary_whole_600depth first_40_4.csv,,,,27173
26,_Summary_whole_600depth first_40_5.csv,,,,28496
27,_Summary_whole_600depth first_40_6.csv,,,,27477
28,_Summary_whole_600depth first_40_7.csv,,,,27675
29,_Summary_whole_600depth first_40_8.csv,,,,26244
30,_Summary_whole_600depth first_40_9.csv,,,,26028
31,_Summary_whole_600depth first_50_1.csv,,,,33278
32,_Summary_whole_600depth first_50_10.csv,,,,33029
33,_Summary_whole_600depth first_50_2.csv,,,,32761
34,_Summary_whole_600depth first_50_3.csv,,,,32684
35,_Summary_whole_600depth first_50_4.csv,,,,32307
36,_Summary_whole_600depth first_50_5.csv,,,,31674
37,_Summary_whole_600depth first_50_6.csv,,,,32285
38,_Summary_whole_600depth first_50_7.csv,,,,34924
39,_Summary_whole_600depth first_50_8.csv,,,,35361
40,_Summary_whole_600depth first_50_9.csv,,,,36415
41,_Summary_whole_750depth first_60_1.csv,,,,38196
42,_Summary_whole_750depth first_60_10.csv,,,,38288
43,_Summary_whole_750depth first_60_2.csv,,,,39739
44,_Summary_whole_750depth first_60_3.csv,,,,38232
45,_Summary_whole_750depth first_60_4.csv,,,,38949
46,_Summary_whole_750depth first_60_5.csv,,,,38280
47,_Summary_whole_750depth first_60_6.csv,,,,39504
48,_Summary_whole_750depth first_60_7.csv,,,,38867
49,_Summary_whole_750depth first_60_8.csv,,,,39785
50,_Summary_whole_750depth first_60_9.csv,,,,37962
51,_Summary_whole_750depth first_70_1.csv,,,,44823
52,_Summary_whole_750depth first_70_10.csv,,,,45496
53,_Summary_whole_750depth first_70_2.csv,,,,44947
54,_Summary_whole_750depth first_70_3.csv,,,,44661
55,_Summary_whole_750depth first_70_4.csv,,,,45360
56,_Summary_whole_750depth first_70_5.csv,,,,45075
57,_Summary_whole_750depth first_70_6.csv,,,,45178
58,_Summary_whole_750depth first_70_7.csv,,,,45067
59,_Summary_whole_750depth first_70_8.csv,,,,45923
60,_Summary_whole_750depth first_70_9.csv,,,,48084
61,_Summary_whole_750depth first_80_1.csv,,,,51012
62,_Summary_whole_750depth first_80_10.csv,,,,51832
63,_Summary_whole_750depth first_80_2.csv,,,,49442
64,_Summary_whole_750depth first_80_3.csv,,,,50998
65,_Summary_whole_750depth first_80_4.csv,,,,49682
66,_Summary_whole_750depth first_80_5.csv,,,,51042
67,_Summary_whole_750depth first_80_6.csv,,,,52857
68,_Summary_whole_750depth first_80_7.csv,,,,49741
69,_Summary_whole_750depth first_80_8.csv,,,,50858
70,_Summary_whole_750depth first_80_9.csv,,,,50967
