_20_1,3,8239,16939
_20_2,3,7891,16591
_20_3,3,7773,16473
_20_4,3,7761,16461
_20_5,3,7982,16592
_20_6,3,6316,15016
_20_7,3,7422,16032
_20_8,3,7049,15749
_20_9,3,6967,15577
_20_10,3,7675,16285
_30_1,4,9902,21602
_30_2,4,10492,23092
_30_3,4,11766,24366
_30_4,3,9346,21046
_30_5,3,9108,20808
_30_6,4,9717,22197
_30_7,3,8441,20141
_30_8,3,8385,19995
_30_9,3,9528,21228
_30_10,4,9850,22330
_40_1,5,12446,28796
_40_2,5,12840,29340
_40_3,5,13635,29985
_40_4,5,13987,30337
_40_5,5,12634,29134
_40_6,4,12504,28104
_40_7,5,13424,29924
_40_8,4,11394,26994
_40_9,5,10926,27276
_40_10,5,13450,29950
_50_1,6,15078,35298
_50_2,5,14653,34153
_50_3,6,14919,35139
_50_4,5,13942,33442
_50_5,5,12974,32474
_50_6,6,14054,34274
_50_7,6,14627,35027
_50_8,6,14981,35201
_50_9,6,16617,37017
_50_10,5,14784,34284
_60_1,6,15364,38764
_60_2,6,16892,40292
_60_3,6,14643,38043
_60_4,6,16555,39955
_60_5,6,15084,38484
_60_6,7,16385,40475
_60_7,6,16786,40186
_60_8,7,17375,41675
_60_9,7,17251,41341
_60_10,6,16045,39445
_70_1,7,18898,46198
_70_2,8,18558,45858
_70_3,7,19182,46482
_70_4,7,18175,45265
_70_5,7,17417,44717
_70_6,8,18550,46510
_70_7,8,18233,46193
_70_8,7,17812,44902
_70_9,8,20949,48909
_70_10,8,20957,48917
_80_1,8,19846,50806
_80_2,8,19457,50657
_80_3,9,23157,54987
_80_4,8,20047,51247
_80_5,8,20866,52066
_80_6,9,21056,52886
_80_7,8,21397,52597
_80_8,9,21396,53226
_80_9,9,22269,54099
_80_10,9,21710,53540
_90_1,9,23598,58698
_90_2,10,23450,59150
_90_3,9,22731,57831
_90_4,9,22330,57160
_90_5,9,22013,56488
_90_6,9,21789,56889
_90_7,9,21783,56464
_90_8,9,21770,56870
_90_9,9,23128,58228
_90_10,9,21701,56801
