_20_1,3,8707,17317
_20_2,3,6707,15360
_20_3,3,7285,15985
_20_4,3,8424,17034
_20_5,3,7982,16592
_20_6,3,7495,16195
_20_7,3,7575,16275
_20_8,3,8858,17468
_20_9,3,6945,15645
_20_10,3,6439,15049
_30_1,5,12118,25468
_30_2,5,11779,25129
_30_3,5,12895,25618
_30_4,4,11373,23853
_30_5,4,11553,24153
_30_6,5,11162,23762
_30_7,4,10558,23158
_30_8,4,10773,23253
_30_9,4,10030,22630
_30_10,4,10457,23057
_40_1,7,13782,31872
_40_2,7,15601,33691
_40_3,5,13681,30181
_40_4,6,13823,30822
_40_5,5,12604,29104
_40_6,6,14492,30992
_40_7,7,14521,32611
_40_8,6,16312,33532
_40_9,6,14420,31820
_40_10,5,13450,29950
_50_1,7,15762,36852
_50_2,8,16864,38824
_50_3,8,17492,39452
_50_4,8,17907,39867
_50_5,7,15776,36818
_50_6,8,17342,39302
_50_7,8,17447,38747
_50_8,7,16935,38025
_50_9,7,16684,37774
_50_10,7,15631,36721
_60_1,8,18563,43523
_60_2,9,22349,48179
_60_3,8,17605,42565
_60_4,9,19801,45631
_60_5,8,18288,42588
_60_6,9,20679,46509
_60_7,9,20178,46008
_60_8,10,20648,47251
_60_9,9,20164,45994
_60_10,9,18405,44235
_70_1,11,24489,55059
_70_2,11,23977,54547
_70_3,9,20201,49031
_70_4,10,22797,52497
_70_5,10,23023,52723
_70_6,10,21751,50851
_70_7,11,24344,54914
_70_8,11,23984,54554
_70_9,10,22356,52056
_70_10,10,22211,51787
_80_1,11,25366,58936
_80_2,12,25612,60052
_80_3,13,27730,63040
_80_4,12,25088,59528
_80_5,12,25530,59970
_80_6,13,26394,61704
_80_7,11,26091,59091
_80_8,10,22623,55623
_80_9,12,24693,59133
_80_10,14,28512,64692
_90_1,13,27337,65647
_90_2,14,28892,68072
_90_3,12,24002,61442
_90_4,13,25181,63491
_90_5,12,26136,63576
_90_6,13,28487,66797
_90_7,12,24615,61422
_90_8,12,25810,63250
_90_9,13,28999,67309
_90_10,13,26791,65101
